,number,prime_factors,ideal,deviation,anti_slope,family_factors,identity_factor,family_product,family,attractor,color_bucket
0,60,"[ 2, 2, 3, 5 ]",2.7831576837137404,1.0,60.0,"[2, 2, 3]",5,12,12,48,1
1,84,"[ 2, 2, 3, 7 ]",3.027400104035091,1.5137000520175454,55.49316054263196,"[2, 2, 3]",7,12,12,48,1
2,132,"[ 2, 2, 3, 11 ]",3.389561224270194,2.694780612135097,48.98357937027583,"[2, 2, 3]",11,12,12,48,1
3,156,"[ 2, 2, 3, 13 ]",3.5341188430493955,3.267059421524698,47.7493610836122,"[2, 2, 3]",13,12,12,48,1
4,204,"[ 2, 2, 3, 17 ]",3.7792667089113596,4.38963335445568,46.47312965055057,"[2, 2, 3]",17,12,12,48,1
5,228,"[ 2, 2, 3, 19 ]",3.8858292384691198,4.9429146192345605,46.12663126180139,"[2, 2, 3]",19,12,12,48,1
6,276,"[ 2, 2, 3, 23 ]",4.075935196471621,6.037967598235811,45.71074546353021,"[2, 2, 3]",23,12,12,48,1
7,348,"[ 2, 2, 3, 29 ]",4.3191154309855655,7.659557715492783,45.43343270279297,"[2, 2, 3]",29,12,12,48,1
8,372,"[ 2, 2, 3, 31 ]",4.391731039349508,8.195865519674754,45.38873888389063,"[2, 2, 3]",31,12,12,48,1
9,444,"[ 2, 2, 3, 37 ]",4.590349388195356,9.795174694097678,45.32844118314123,"[2, 2, 3]",37,12,12,48,1
10,140,"[ 2, 2, 5, 7 ]",3.439790628250393,2.0,70.0,"[2, 2, 5]",7,20,20,80,2
11,220,"[ 2, 2, 5, 11 ]",3.8512851068430813,3.0,73.33333333333333,"[2, 2, 5]",11,20,20,80,2
12,260,"[ 2, 2, 5, 13 ]",4.015534272870436,3.5,74.28571428571429,"[2, 2, 5]",13,20,20,80,2
13,340,"[ 2, 2, 5, 17 ]",4.294076025710977,4.5,75.55555555555556,"[2, 2, 5]",17,20,20,80,2
14,380,"[ 2, 2, 5, 19 ]",4.4151544355342685,5.0,76.0,"[2, 2, 5]",19,20,20,80,2
15,460,"[ 2, 2, 5, 23 ]",4.631156506697567,6.0,76.66666666666667,"[2, 2, 5]",23,20,20,80,2
16,580,"[ 2, 2, 5, 29 ]",4.90746259869442,7.5,77.33333333333333,"[2, 2, 5]",29,20,20,80,2
17,620,"[ 2, 2, 5, 31 ]",4.989969859225351,8.0,77.5,"[2, 2, 5]",31,20,20,80,2
